,title,summary,company,today,href
33,"   안우진 잠시만 안녕…12월18일부터 사회복무요원으로 복무, 2025년 9월 복귀[오피셜]   ",  키움 히어로즈 안우진./고척 = 유진형 기자 zolong@mydaily.co.kr 키움 히어로즈 안우진./사진 = 유진형 기자 zolong@mydaily.co.kr 2023년 8월 19일 오후 서울 고척스카이돔에서 '2023 신한은행 SOL KBO리그' 롯데 자이언츠와 키움 히어로즈의 경기가 열렸다. 3회초...  ,마이데일리, 2시간전 ,http://v.daum.net/v/20231128130203465
34,   [포토] 이지혜 '안녕하세요'   ,  이지혜가 28일 서울 광화문 씨네큐브에서 진행된 E채널·채널S 공동 제작 예능 '놀던 언니' 제작발표회에서 포토타임을 갖고 있다. 2023. 11. 28. 최승섭기자 thunder@sportsseoul.com  ,스포츠서울, 3시간전 ,http://v.daum.net/v/20231128111216320
35,"   ""안녕하세요, 신입입니다. 71살이고요""   ","  클럽 제공 ▶ 글 싣는 순서 ①'노인 지옥' 죽거나 죽이거나…흉기로 변한 빈곤②평균 퇴직 49.4세…'죽음의 계곡' 떠밀리는 나라③""안녕하세요, 신입입니다. 71살이고요""(계속) 깨를 고온에서 볶으면 단백질과 지방이 분해되면서 발암물질인 벤조피렌이 나온다는...  ",노컷뉴스, 2023.11.08 탐사뉴스 ,http://v.daum.net/v/20231108052100470
36,"   한지완, 강율 이별 통보에 오열..""우혁아, 안녕""[우아한 제국][★밤TView]   ","  일 안 할거다""라며 이별을 통보했다. 정우혁은 '그렇게 해라'며 눈물을 흘리는 서희재에 ""사랑했다. 이젠 내가 널 잊겠다""고 단호히 이야기했다. 이별을 통보받은 서희재는 병실 밖으로 나가 ""우혁아. 안녕""이라며 눈물을 쏟아냈다. 김지은 기자 star@mtstarnews.com  ",스타뉴스, 2023.11.14 ,http://v.daum.net/v/20231114204039614
37,   세븐틴 조슈아 ‘캐럿들 안녕~’[포토엔HD]   ,"  [인천공항(영종도)=뉴스엔 지수진 기자] 세븐틴(SEVENTEEN) 멤버 정한, 조슈아, 준, 호시, 원우, 우지, 디에잇, 민규, 도겸, 승관, 버논, 디노가 11월 27일 오전 인천 중구 운서동 인천국제공항 제 1여객터미널을 통해 ‘2023 MAMA Awards in Tokyo(2023 엠넷 마마...  ",뉴스엔, 14시간전 ,http://v.daum.net/v/20231128005719068
38,"   '귀저귀 안녕' 은우, 아빠 김준호 교육에 어엿한 형아로 (슈돌)   ","  [동아닷컴] ‘슈퍼맨이 돌아왔다’ 은우가 배변 교육을 시작하며 기저귀와의 이별을 시작한다. 오는 28일 오후 8시 30분에 방송되는 KBS 2TV ‘슈돌’ 503회는 ‘마음껏 자라렴! 아빠가 지켜줄게’ 편으로 소유진과 최강창민의 내레이션으로 꾸며지는 가운데, 김준호...  ",스포츠동아, 2023.11.27 ,http://v.daum.net/v/20231127134823271
39,"   [ST포토] 신현빈, '안녕'   ",  스포츠투데이 포토 [스포츠투데이 팽현준 기자] 배우 신현빈이 27일 서울 상암동 스탠포드 호텔에서 열린 지니TV 오리지널 '사랑한다고 말해줘' 제작발표회에 참석해 포토타임을 갖고 있다. 정우성 신현빈 김지현 이재균 박진주 등이 출연하는 '사랑한다고 말해줘'는...  ,스포츠투데이, 2023.11.27 ,http://v.daum.net/v/20231127143808502
40,   디모데 ‘안녕하세요’   ,  영화 ‘3일의 휴가’ VIP 시사회가 27일 오후 서울 강남구 메가박스 코엑스에서 열렸다. ‘3일의 휴가’는 하늘에서 휴가 온 엄마 ‘복자’(김해숙)와 엄마의 레시피로 백반집을 운영하는 딸 ‘진주’(신민아)의 힐링 판타지 영화다. 디모데가 포토타임을 갖고 있다...  ,MK스포츠, 18시간전 ,http://v.daum.net/v/20231127203902105
41,"   [★타임머신]‘섹드립 일인자’ 알고 보니 원조 꽃미남 개그맨?... ‘술 잘 마시는 동물농장 아저씨’ 신동엽, n번째 전성기도 “안녕하시렵니까”   ",  훤칠한 외모와 능글대는 귀여움으로 별다른 무명 시절 없이 ‘토요일 7시 웃으면 좋아요’의 코너 ‘레일맨’에서 유행어 “안녕하시렵니까?”로 단숨에 스타가 되었다. 이어서 그는 예능프로 ‘기쁜 우리 토요일’ 시트콤 ‘남자 셋 여자 셋’으로 인기의 정점을...  ,스포츠서울, 2023.11.20 ,http://v.daum.net/v/20231120060047215
42,   영월 봉래산 천제 봉행…군민 안녕·지역 발전 기원   ,"  DB 금지] (영월=연합뉴스) 배연호 기자 = 강원 영월군이 10일 제45회 영월군 농업인의 날을 맞아 봉래산 정상에서 추수 감사, 군민 안녕, 지역 발전 등을 기원하는 천제를 봉행했다. 봉래산 천제 봉행은 영월군 농업인단체협의회 주관으로 2019년부터 시작됐다. 천제...  ",연합뉴스, 2023.11.10 ,http://v.daum.net/v/20231110131602511
43,"   전다현 감독 '안녕, 우주' 부천국제애니메이션페스티벌 초청   ","  세종대 만화애니메이션텍전공 졸업생 전다현 감독의 단편 애니메이션 '안녕, 우주'가 지난달 20일 개막한 부천국제애니메이션페스티벌(BIAF)에서 국제경쟁 학생 단편 부문에 공식 초청됐다고 2일 밝혔다. (사진=세종대 제공) *재판매 및 DB 금지 [서울=뉴시스]이주영...  ",뉴시스, 2023.11.02 ,http://v.daum.net/v/20231102163950183
44,"   ""18개월, 잠시 안녕""... 송강·세훈→BTS, '군대'가는 ★ [종합]   ",  [TV리포트=강성훈 기자] 잘나가는 남자 스타의 커리어에 있어 '국방의 의무'는 가장 큰 위기로 다가온다. 군대에 있는 '군백기' 동안 활동에 제한받기 때문이다. 이 가운데 월드클래스 보이그룹 방탄소년단 그리고 1994년생 스타들이 입대를 앞두고 있어 관심이...  ,TV리포트, 2023.11.23 ,http://v.daum.net/v/20231123183200357
45,"   '플라스틱이여 안녕~'…이상일 용인특례시장, '바이바이 플라스틱 챌린지' 참여   ",  이상일 시장이 지난 14일 시청 청사에서 ‘바이바이(bye bye) 플라스틱 챌린지’에 참여했다고 15일 밝혔다. 이 시장은 ‘플라스틱 안녕’이라는 제스처로 손을 흔드는 사진을 찍어 사회관계망서비스(SNS)에 올렸다. 플라스틱 사용을 최대한 줄이자는 범국민 실천...  ,데일리안, 2023.11.15 ,http://v.daum.net/v/20231115122003176
46,"   ‘뜨거운 안녕’ 쟈니 리 “전쟁 고아였던 소년, 미군이 선뜻 거둬줘”   ","  큼직한 선글라스를 쓰고 약속 장소인 서울 종로의 라이브 바에 나타났다. 이곳에서 요즘도 노래를 한다고 했다. 1966년 ‘뜨거운 안녕’, ‘내일은 해가 뜬다’ 같은 히트곡을 발표한 지 60년이 돼 가는 지금도 여전한 가수의 풍모였다. 전쟁 고아였던 쟈니 리가...  ",조선일보, 2023.11.04 탐사뉴스 ,http://v.daum.net/v/20231104041048780
47,"   인천 부평구문화재단, 포럼 '문화도시, 안녕하신가요?' 개최   ","  [인천=뉴시스] 이루비 기자 = 인천 부평구문화재단은 16일 오후 부평아트센터 세미나실에서 부평문화포럼 '문화도시, 안녕하신가요?'를 개최한다고 7일 밝혔다. 1회차 포럼의 부제는 '문화도시 진단과 대안 모색'이다. 이번 포럼은 문화체육관광부의 제5차 법정문화...  ",뉴시스, 2023.11.07 ,http://v.daum.net/v/20231107132913341
48,"   스튜디오니니, 웹툰 '수의사님!안녕하세요?' 한달만에 200만뷰 돌파   ","  스튜디오니니는 지난 9월 카카오페이지, 카카오웹툰에 런칭한 웹툰 '수의사님! 안녕하세요?'가 런칭 한 달만에 200만뷰를 돌파했다고 6일 밝혔다. 조회수의 빠른 상승세로 드라마 웹툰 장르로서는 드물게 웹툰 신작의 성공적인 출발을 보여주고 있다. 스튜디오니니의...  ",전자신문, 2023.11.06 ,http://v.daum.net/v/20231106113903216
49,"   독립기념관, 장애학생 위한 '안녕, 독립기념관' 프로그램 개설   ","  제공. 재판매 및 DB 금지] (천안=연합뉴스) 유의주 기자 = 독립기념관은 9일 장애 학생의 독립운동사 교육 접근성 강화를 위해 '안녕, 독립기념관' 프로그램을 개설한다고 밝혔다. 교육은 크게 시각장애 학생 프로그램인 '우리의 태극기'와 발달장애 학생 대상의...  ",연합뉴스, 2023.11.09 ,http://v.daum.net/v/20231109094201418
50,"   이젠 안녕...메시의 가장 '든든한' 조력자, 코파 아메리카가 마지막 대회   ",  [포포투=한유철] 앙헬 디 마리아가 코파 아메리카 2024를 끝으로 아르헨티나 유니폼을 벗는다. 디 마리아는 아르헨티나의 전설적인 공격수다. 공격 전 지역을 소화할 수 있을 정도로 다재다능하며 그의 왼발은 타의 추종을 불허할 정도다. 패스와 슈팅 등 뛰어난...  ,포포투, 2023.11.24 ,http://v.daum.net/v/20231124125504568
51,"   '청룡영화상', 김혜수와 뜨거운 안녕…최우수작품상은 '밀수' [종합]   ",  청룡영화상이 청룡의 여인 배우 김혜수와의 아름다운 이별을 마무리했다. KBS2 캡처 청룡영화상이 청룡의 여인 배우 김혜수와의 아름다운 이별을 마무리했다. 그가 출연한 '밀수'는 최우수작품상을 차지했다. 24일 제44회 청룡영화상이 여의도 KBS홀에서 개최됐다...  ,한국일보, 2023.11.24 ,http://v.daum.net/v/20231124235410148
52,"   '무인도의 디바' 채종협, 정면돌파하려는 박은빈 위해 애틋한 안녕 고해   ","  박은빈과 김효진의 워맨스가 소문과 역경 속에서 더욱 단단해져가고 있다. iMBC 연예뉴스 사진 어제(26일) 방송된 tvN 토일드라마 ‘무인도의 디바’(극본 박혜련, 은열 / 연출 오충환 / 기획 스튜디오드래곤 / 제작 바람픽쳐스, 카카오엔터테인먼트) 10...  ",MBC연예, 2023.11.27 ,http://v.daum.net/v/20231127075709965
53,"   희진 ""아버지가 아이돌 데뷔 반대..지금은 '미안하다'고"" 눈물 [안녕자네]   ",  아버지의 반대를 떠올리며 울컥했다. 10일 유튜브 채널 '헤이뉴스'에는 '고3 아들이 좋아하는 아이돌을 만난 아버지(ft. 희진) - 안녕자네 63화'라는 제목의 영상이 게재됐다. 이날 영상에는 그룹 이달의 소녀 출신 아르테미스 멤버 희진이 출연했다. 희진은 평소...  ,스타뉴스, 2023.11.11 ,http://v.daum.net/v/20231111004352849
54,"   우리 이제는 이별해야 해...다이어와 요리스, 토트넘과 안녕?   ",  [인터풋볼] 김대식 기자 = 토트넘은 이제 팀에 큰 도움이 되지 않는 베테랑들을 정리해야만 한다. 영국 '스카이 스포츠'는 21일(한국시간) 토트넘의 1월 이적시장에 대해서 보도하면서 토트넘이 센터백과 함께 중앙 미드필더와 공격수 영입도 염두해두고 있다고...  ,인터풋볼, 2023.11.22 ,http://v.daum.net/v/20231122155747744
55,   [포토] 안효섭 '안녕'   ,  ‘제18회 W Korea 유방암 인식 향상 캠페인 자선행사’ 포토콜이 24일 오후 서울 중구 포시즌스호텔에서 열렸다. 배우 안효섭이 포토타임을 갖고 있다. 더블유코리아는 지난 2006년부터 ‘LOVE YOUR W’ 슬로건을 내걸고 유방암 인식 향상 캠페인을 꾸준히 진행해...  ,bnt뉴스, 2023.11.25 ,http://v.daum.net/v/20231125002701506
56,"   김기현 ""보다 큰 정당""... 이준석 ""안녕 얘들아...12월에 결단"" [앵커리포트]   ","  어제 김종인 전 비대위원장을 만나 11월 계획을 설명했다면서 12월에 결단하겠다고 했는데요 오늘은 징계 취소 결정이 나자마자, 안녕 얘들아…지지율이나 올리라며 불쾌감을 숨기지 않았는데요 오늘 김 대표와 이 전 대표 목소리 듣고 더정치 시작하겠습니다...  ",YTN, 2023.11.02 ,http://v.daum.net/v/20231102151616507
